#name	period	DM	DEC	dtd	dnud	taud	dist	w50	weff	uscale	S_1000	spindex	sig_jitter
J2043+1711	0.002379878923889773	20.711986	17.19087710298799	1316.0	0.01518	0.012159999999999999	1.7583	21.127887311968962	179.43998316054066	3.6443244238926633	0.4179707249474029	-1.775278968440953	15.65237146151186
J1713+0747	0.004570136527581795	15.991845999999999	7.7944363977076305	663.9	0.007589999999999999	0.02433	0.8948	110.37250558761772	539.2483042474794	6.190456715801039	6.6345126076353	-0.8346878631958444	32.03492070052218
J2145-0750	0.01605242367131449	9.001928	-7.837482800386825	1469.0	0.05856	0.003153	0.568	338.6074405034087	1825.1133381020568	4.372657597847607	8.802743100792288	-2.0407740375498524	113.3115063703607
J2322+2057	0.004808428211204965	13.383954999999998	20.95079759711111	1264.0	0.03104	0.005947	0.7936	311.84371205995495	476.8819732553848	4.140330649651148	0.4728466696213897	-1.5572802449498797	26.69758242906681
J0636+5128	0.002868952846534217	11.103667	51.48353851427285	719.8	0.01629	0.01133	0.4899	129.06967133008973	460.2225107049948	6.644973578084268	1.4362999675990875	-1.7023436375153926	58.32124028303004
J0509+0856	0.004055838231436277	38.327064	8.940287379166667	344.3	0.00126	0.1466	1.4498	638.4973370851288	888.7065502152603	2.3173795287562973	2.428701261287757	-1.4321881378181067	402.2533223636312
J0154+1833	0.002364569776304132	19.798873	18.56409988813889	557.4	0.005589	0.033030000000000004	0.8564	41.57510467644818	255.33398954148376	6.424428827879449	0.3116687956703217	-2.3784983184709416	26.192315946162356
J1903+0327	0.002149912333057721	297.506211	3.4557023816690005	7.354	1.309e-07	1410.0	6.3648	195.43477379626884	406.585722442759	5.4308220838718935	0.8485544337746347	-0.7922254607084155	105.7604489025952
J0645+5158	0.008853496686297688	18.24752	51.97121836742736	479.7	0.005064	0.03645	0.7	117.86448172999944	622.22619669423	6.10569814758844	0.5793542470322637	-1.3326838343800058	10.823427122139295
J2017+0603	0.002896215816723022	23.923517999999998	6.051704732035506	916.9	0.008222	0.02245	1.5753	63.98947219992528	242.44848896871653	3.3198832663573925	0.27904201304653353	0.0	24.910988174185253
J1923+2515	0.003788155520655082	18.857215	25.261170319522385	1387.0	0.018119999999999997	0.01019	1.6343	145.84932790145118	534.4780116044368	5.01124311698475	0.6051635071964075	-1.7135234381458309	196.5905840538186
J0557+1551	0.002556367076782876	102.581	15.835012268333333	85.33	3.822e-05	4.83	2.9348	84.14484681711153	345.69690759718213	6.429066963827242	0.0625837664732424	0.0	53.011253494780256
J1705-1903	0.0024802912990134107	57.491329	-19.061847463630095	161.3	0.0002423	0.7618	1.6546	39.855831084820146	227.5679081986409	7.725526095245113	0.8711329362342732	-0.9631545648867309	25.10917358343669
J0030+0451	0.004865453211255077	4.332867	4.860961462455774	3344.0	0.5411	0.0003412	0.3183	504.66270860867553	540.8923843200847	3.8408396855254265	1.9821211476347076	-1.3701695310372546	131.67882199744793
