# name	AO_430_Lwide	AO_Lwide_Swide	CHIME-GBTL_evenlower	CHIME-GBTUWBR_evenlower	GBT_Rcvr_1_2_VLAS	GBT_Rcvr_800-Rcvr_1_2
J0340+4130	0.8852805898053423	1.5764394525331549	1.9800730905215502	1.9711919185283358	3.3321178442842556	2.0187533085079292
J1730-2304	0.5251051798678317	0.6956460447588507	-2	-2	1.1628681703815362	0.8272688838175729
J0023+0923	0.5840026669637286	1.7162836140528577	1.611564620299853	1.4036099630637036	3.564218510754505	2.2836649420370816
J1012-4235	1.2061171774678316	0.8390639908781987	-2	-2	1.1461372429223509	1.619692458054499
J0613-0200	0.23552940269753506	0.2836629054794913	0.37976148721007086	0.4584510973901129	0.6167078582854686	0.3511548399572093
J1747-4036	30.220631518495683	2.3097315596925467	-2	-2	2.737648711974038	8.121339332321746
J1012+5307	0.15752079602406743	0.43032076827166094	0.3535092717246115	0.3247012995419238	0.8616007315709039	0.5857732889049373
J1125+7819	0.4301380137121408	1.2323054384488636	0.6585475676082259	0.6437622510921059	2.701686567154106	1.5187861325109293
B1953+29	3.2055064299175076	2.6181484137256517	5.085958372320578	6.076815548425632	5.662341010186313	3.435258883683778
J1811-2405	4.141748921584723	0.8430223487780403	-2	-2	1.6729047067252354	1.5609547191248452
J1751-2857	0.986594925489743	1.5520284719214044	-2	-2	3.3696808514247167	2.3538421780267207
J2033+1734	1.5018003116076284	4.251237883601655	3.614402758074389	3.014841424784775	9.321627829560303	5.280165600728957
J1843-1113	2.1813024444266906	0.6492065885656348	1.9232584446291083	2.106177943811149	1.3050613347632058	1.0656322223074735
J2234+0611	0.5348201698931973	1.2516894517717303	1.486339393139543	1.3848626885875872	2.0791968268609122	2.038936174761532
J2302+4442	0.7054799852075204	1.5678368279377906	1.3935093072619866	1.3059414896424963	3.0204268553241	2.1462739976781315
J1909-3744	0.09933364495156159	0.2928322653425963	-2	-2	0.6362393577515651	0.37907981424907883
J1802-2124	163.06823686987667	9.770299405275589	-2	-2	7.938242092645929	38.95090643468933
J1630+3734	0.5168736052970857	1.558903589515326	1.308748925287483	1.1111500770210938	3.3507275690474896	1.996254016160169
B1937+21	0.7890357966270736	0.10811598835075165	2.014203018324443	2.311007916011785	0.1365181222552564	0.3972092385379912
J0125-2327	0.14633703959944622	0.21877292780143454	-2	-2	0.2866226655136676	0.37905968476437246
J1910+1256	0.6043437889711931	1.5704857537207175	1.6813692024091242	1.575925896748313	3.166601179535103	2.306794609065261
J1946+3417	2.672760680985026	0.958064680796025	3.021506872388283	3.592157208828018	1.7415290474895093	1.5063593803695283
J1643-1224	1.1378233951962684	0.3500337470513305	1.1831396583148628	1.708366395705708	0.7313831029417054	0.5249812317429295
J1455-3330	0.6481108559492289	1.8418744755950933	-2	-2	3.896056335546687	2.4215486567747586
J0614-3329	0.24182767359967156	0.5017928790313806	-2	-2	0.9803100517606338	0.6971200287601218
J2229+2643	0.693021050775473	2.2018797697895143	1.7036766160479186	1.3687636276105002	4.995766508893185	2.6485825621775207
J2214+3000	1.216547287782054	1.7272599210437538	2.764071926886343	1.9793059678701743	2.0539004999876065	3.7909789414856707
