#freq (MHz)	Tsys (Average; K)	gain (Average; K/Jy)	SEFD (Jy)
3870.507812625	52.8021286710821	1.61177431775574	32.7602494278508
3869.042968875	52.9167369645774	1.58919751390266	33.2977723043547
3867.578125125	53.0990531661126	1.56512380693633	33.9264235396508
3866.113281375	53.2404339962688	1.53975366544829	34.5772412762974
3864.648437625	53.460357802961	1.51823945394208	35.2120725516335
3863.183593875	53.7230060844111	1.49532357251737	35.9273451390649
3861.718750125	53.7500107139354	1.47292404496057	36.4920451246855
3860.253906375	53.9463725311121	1.45211688730986	37.1501585048372
3858.789062625	54.1230224900443	1.43219981902888	37.7901335909559
3857.324218875	54.1791934036041	1.41333478902939	38.334295472067
3855.859375125	54.3620287778967	1.40010153775324	38.8272045362739
3854.394531375	54.4804604772345	1.38703549474815	39.2783462885546
3852.929687625	54.5782404082027	1.37902839804385	39.5773143509023
