# GB 140 ft. 400-800 MHz + GBT UWBR
# Bands overlap from 700 - 800 MHz, UWBR figures chosen in range for lower SEFD
#freq	Trx	G    eps t_int
.4     	30.	0.3  0.01	1.08e5
0.699  	30.	0.3  0.01	1.08e5
0.835351562625	31.9008413944	2.47064899966	0.01	3600.
0.836816406375	31.671857952	2.46257739468	0.01	3600.
0.838281250125	31.4795493171	2.46235595525	0.01	3600.
0.839746093875	31.2692686623	2.45719856946	0.01	3600.
0.841210937625	31.2253506972	2.46301135909	0.01	3600.
0.842675781375	31.2339654082	2.46622076108	0.01	3600.
0.844140625125	31.2362535715	2.46726300991	0.01	3600.
0.845605468875	31.308711019	2.46704735576	0.01	3600.
0.847070312625	31.0946662815	2.46806525707	0.01	3600.
0.848535156375	31.0609782343	2.46708232667	0.01	3600.
0.850000000125	31.0343130171	2.46966182604	0.01	3600.
0.851464843875	30.8026096134	2.4544534019	0.01	3600.
0.852929687625	30.3778664537	2.44230112203	0.01	3600.
0.854394531375	30.0198387639	2.43072789737	0.01	3600.
