#freq (MHz),Tsys (Average; K),gain (Average; K/Jy)
3817.773438,50.47651065,1.563326807
3816.308594,50.70528918,1.553899521
3814.84375,50.86694612,1.543045043
3813.378906,50.87717451,1.529868657
3811.914063,50.75541589,1.513944852
3810.449219,50.58348146,1.497869089
3808.984375,50.50885925,1.48524206
3807.519531,50.58390287,1.475868396
3806.054688,50.6036326,1.467683751
3804.589844,50.59873887,1.457968112
3803.125,50.5558549,1.451363319
3801.660156,50.56920286,1.444403635
3800.195313,50.4380471,1.43861863
3798.730469,50.16287035,1.431972384
3797.265625,49.77572373,1.420607433
3795.800781,49.50405185,1.411918617
3794.335938,49.18822596,1.4027785
3792.871094,48.96586595,1.396643077
3791.40625,48.78312703,1.39163425
3789.941406,48.67359424,1.389822997
3788.476563,48.58471546,1.391840484
3787.011719,48.57550602,1.39753161
3785.546875,48.60217014,1.405583911
3784.082031,48.5879536,1.41430191
3782.617188,48.5583197,1.424146525
3781.152344,48.52055809,1.435620111
3779.6875,48.52765324,1.449735005
3778.222656,48.6872021,1.468096453
3776.757813,48.84619205,1.487794001
3775.292969,49.02100022,1.509426736
3773.828125,49.13902511,1.532375737
3772.363281,49.25869658,1.558002935
3770.898438,49.2843593,1.58216114
3769.433594,49.36515727,1.611175183
3767.96875,49.39497133,1.639650109
3766.503906,49.37945082,1.667066545
3765.039063,49.39994234,1.697137385
3763.574219,49.40394053,1.72465563
3762.109375,49.43979357,1.750743913
3760.644531,49.53082303,1.773923516
3759.179688,49.73435961,1.795208367
3757.714844,50.00410833,1.812205678
3756.25,50.25488327,1.822565139
3754.785156,50.64112621,1.829881604
3753.320313,51.09744261,1.831115425
3751.855469,51.61152758,1.826556505
3750.390625,52.01269502,1.816845332
3748.925781,52.35640138,1.806617506
3747.460938,52.71166391,1.793366543
3745.996094,53.07978279,1.775869834
3744.53125,53.39179613,1.756238472
3743.066406,53.67224126,1.734973499
3741.601563,53.79622005,1.713033383
3740.136719,53.96395045,1.692069057
3738.671875,54.05354978,1.670427398
3737.207031,54.13613816,1.648780529
3735.742188,54.32309212,1.632067781
3734.277344,54.40725462,1.616608762
3732.8125,54.54593729,1.604160054
3731.347656,54.69216797,1.59479695
3729.882813,54.83346881,1.588726346
3728.417969,55.00754686,1.586497855
3726.953125,55.14813632,1.586050303
3725.488281,55.38425779,1.589283657
3724.023438,55.51879331,1.590243604
3722.558594,55.7610628,1.595495194
3721.09375,56.05046242,1.600243851
3719.628906,56.10151343,1.607546829
3718.164063,55.74648238,1.610608847
3716.699219,55.42726692,1.613769097
3715.234375,55.09046179,1.617301462
3713.769531,54.8062823,1.62322029
3712.304688,54.31459145,1.628502421
3710.839844,53.93942659,1.634658
3709.375,53.6568574,1.643525518
3707.910156,53.48023353,1.656526803
3706.445313,53.39879555,1.673399749
3704.980469,53.21490622,1.688619839
3703.515625,53.02588572,1.703416232
3702.050781,52.90475096,1.718699701
3700.585938,52.76692717,1.73268677
3699.121094,52.64334067,1.748016374
3697.65625,52.75848486,1.767936286
3696.191406,52.9384353,1.787720857
3694.726563,53.13932993,1.8074687
3693.261719,53.24442963,1.824797659
3691.796875,53.35636418,1.840641954
3690.332031,53.50419983,1.854920613
3688.867188,53.51650668,1.862772632
3687.402344,53.19546215,1.86175018
3685.9375,52.8525483,1.857647451
3684.472656,52.65112116,1.853798996
3683.007813,52.43703193,1.845296125
3681.542969,52.35066856,1.836284927
3680.078125,52.18550887,1.822698045
3678.613281,52.17778807,1.810941791
3677.148438,52.15435991,1.798064269
3675.683594,52.12656194,1.782870582
3674.21875,52.40116941,1.769935755
3672.753906,52.56816491,1.752698961
3671.289063,52.9052609,1.737349367
3669.824219,53.15810141,1.719111355
3668.359375,53.22178768,1.697919584
3666.894531,53.20712406,1.673083969
3665.429688,53.12317752,1.649313774
3663.964844,53.04398857,1.626262634
3662.5,52.95128334,1.604601237
3661.035156,52.56539464,1.583715887
3659.570313,52.38789365,1.567041423
3658.105469,52.61490496,1.560881006
3656.640625,52.90751311,1.558358373
3655.175781,53.14186926,1.558932913
3653.710938,53.26475574,1.5608264
3652.246094,53.4484603,1.564780864
3650.78125,53.7277289,1.569953668
3649.316406,54.12889612,1.577068362
3647.851563,54.3861264,1.580527591
3646.386719,54.54565866,1.582528488
3644.921875,54.78923342,1.585983447
3643.457031,55.04216335,1.590763143
3641.992188,55.23373728,1.594657872
3640.527344,55.44086927,1.599802403
3639.0625,55.60940819,1.604572889
3637.597656,55.72103199,1.607715533
3636.132813,55.70193472,1.608498987
3634.667969,55.67312971,1.610216641
3633.203125,55.58005489,1.610647409
3631.738281,55.38391243,1.609991888
3630.273438,55.10724633,1.608485711
3628.808594,54.79981111,1.608691617
3627.34375,54.47516001,1.60913658
3625.878906,54.17695067,1.607410361
3624.414063,53.82942887,1.601920215
3622.949219,53.25908468,1.596268192
3621.484375,52.7678019,1.588743971
3620.019531,52.2536263,1.578696432
3618.554688,51.86299671,1.570242548
3617.089844,51.67735485,1.565597798
3615.625,51.52244105,1.557592549
3614.160156,51.43485413,1.551827739
3612.695313,51.33907483,1.544129094
3611.230469,51.43494375,1.539256215
3609.765625,51.62530661,1.533501874
3608.300781,51.63360102,1.519839101
3606.835938,51.53294597,1.501574597
3605.371094,51.47048469,1.485280483
3603.90625,51.41624019,1.470585626
3602.441406,51.36756858,1.457314514
3600.976563,51.23780293,1.444712155
3599.511719,51.24217798,1.437586471
3598.046875,51.31274792,1.43504064
3596.582031,51.37993415,1.434375342
3595.117188,51.42352958,1.436472827
3593.652344,51.43430114,1.437973061
3592.1875,51.46492373,1.442259309
3590.722656,51.38124018,1.44354921
3589.257813,51.3357313,1.447637316
3587.792969,51.18135476,1.450913783
3586.328125,51.17889492,1.458700174
3584.863281,51.02033729,1.464608547
3583.398438,50.85385974,1.472743573
3581.933594,50.71999128,1.482564236
3580.46875,50.47715746,1.492700591
3579.003906,50.19117203,1.502048987
3577.539063,49.78813036,1.508764987
3576.074219,49.28059556,1.514437313
3574.609375,48.85129636,1.522640153
3573.144531,48.39320259,1.529551242
