# GBT UWBR with no RFI - Ryan Lynch 6/2/23
#freq	Trx	G	eps
1.403710938	33.45125803	1.800521356	0.01
1.405175781	34.02488108	1.803948321	0.01
1.406640625	33.6902163	1.811983828	0.01
1.408105469	33.37160659	1.815082927	0.01
1.409570313	33.29080918	1.807690777	0.01
1.411035156	33.22007999	1.800963017	0.01
1.4125	33.41404505	1.78747859	0.01
1.413964844	33.58711635	1.773306513	0.01
1.415429688	33.84294208	1.758883159	0.01
1.416894531	34.03153203	1.747239242	0.01
1.418359375	34.20163348	1.733493967	0.01
1.419824219	34.48119458	1.722098089	0.01
1.421289063	34.76075568	1.710702211	0.01
1.422753906	35.14899087	1.699708392	0.01
1.42421875	35.56316757	1.69354323	0.01
1.425683594	36.10935478	1.684139113	0.01
1.427148438	36.64777126	1.680943379	0.01
1.428613281	37.33382018	1.674315238	0.01
1.430078125	37.90794067	1.672608629	0.01
1.431542969	38.60471623	1.666484765	0.01
1.433007813	39.25757954	1.66523563	0.01
1.434472656	40.03520468	1.665641925	0.01
1.4359375	40.77194745	1.666353469	0.01
1.437402344	41.64176741	1.667321431	0.01
1.438867188	42.60922393	1.669706065	0.01
1.440332031	43.60197666	1.672021461	0.01
1.441796875	44.61964264	1.674243934	0.01
1.443261719	45.65478491	1.678082344	0.01
1.444726563	46.69847784	1.683461075	0.01
1.446191406	47.8251295	1.690063337	0.01
1.44765625	48.94896963	1.698412086	0.01
1.449121094	50.00417972	1.708202515	0.01
1.450585938	51.03946706	1.714882612	0.01
1.452050781	52.12661347	1.716624587	0.01
1.453515625	53.02097111	1.716288297	0.01
1.454980469	53.83337088	1.71467116	0.01
1.456445313	54.39967934	1.714550909	0.01
1.457910156	54.69954121	1.711479627	0.01
1.459375	54.78977752	1.707634863	0.01
1.460839844	54.58826973	1.698766644	0.01
1.462304688	54.12921863	1.689411817	0.01
1.463769531	53.55442266	1.678226291	0.01
1.465234375	52.81583025	1.661531131	0.01
1.466699219	51.80395627	1.65201495	0.01
1.468164063	50.70533586	1.638129895	0.01
1.469628906	49.67486808	1.625792638	0.01
1.47109375	48.65774954	1.622054161	0.01
1.472558594	47.63577303	1.616552774	0.01
1.474023438	46.6768432	1.612631732	0.01
1.475488281	45.73592776	1.61108193	0.01
1.476953125	44.84616799	1.60955104	0.01
1.478417969	44.06104863	1.607611591	0.01
1.479882813	43.36751192	1.610091096	0.01
1.481347656	42.7890998	1.610531925	0.01
1.4828125	42.38216396	1.612715892	0.01
1.484277344	42.03066441	1.613171315	0.01
1.485742188	42.00843307	1.614455447	0.01
1.487207031	42.04553324	1.615584975	0.01
1.488671875	42.3579987	1.61650935	0.01
1.490136719	43.228707	1.627280025	0.01
1.491601563	44.003745	1.63565352	0.01
1.493066406	45.16791911	1.647968948	0.01
1.49453125	46.44841335	1.663362585	0.01
1.495996094	47.73909579	1.680260316	0.01
1.497460938	49.00216225	1.699810479	0.01
1.498925781	50.2778471	1.723362647	0.01
1.500390625	51.42554347	1.745607522	0.01
1.501855469	52.83081852	1.759412423	0.01
1.503320313	53.30101185	1.789100932	0.01
1.504785156	54.12729675	1.809148041	0.01
1.50625	55.05816417	1.800573137	0.01
1.507714844	55.10523873	1.814199905	0.01
1.509179688	55.41348197	1.805866499	0.01
1.510644531	54.36980761	1.813019293	0.01
1.512109375	53.38016596	1.803494073	0.01
1.513574219	52.28517201	1.779230122	0.01
1.515039063	50.61405332	1.746183941	0.01
1.516503906	49.04718681	1.705376966	0.01
1.51796875	47.40759777	1.67086263	0.01
1.519433594	46.12125918	1.63459974	0.01
1.520898438	45.00250947	1.610328356	0.01
1.522363281	44.30706153	1.589305362	0.01
1.523828125	43.46487101	1.57140385	0.01
1.525292969	44.50002363	1.583189036	0.01
1.526757813	45.53517625	1.594974222	0.01
1.528222656	41.72220531	1.51949761	0.01
1.5296875	41.70723065	1.522824263	0.01
1.531152344	41.59547174	1.516065762	0.01
1.532617188	41.59655643	1.55136411	0.01
1.534082031	41.59764111	1.586662458	0.01
1.535546875	41.5987258	1.621960807	0.01
1.537011719	41.59981048	1.657259155	0.01
1.538476563	41.60089516	1.692557503	0.01
1.539941406	41.60197985	1.727855851	0.01
1.54140625	41.60306453	1.763154199	0.01
1.542871094	41.60414922	1.798452548	0.01
1.544335938	41.6052339	1.833750896	0.01
1.545800781	41.60631859	1.869049244	0.01
1.547265625	41.60740327	1.904347592	0.01
1.548730469	41.60848796	1.939645941	0.01
1.550195313	41.60957264	1.974944289	0.01
1.551660156	41.61065733	2.010242637	0.01
1.553125	41.61174201	2.045540985	0.01
1.554589844	41.6128267	2.080839333	0.01
1.556054688	41.61391138	2.116137682	0.01
1.557519531	41.61499607	2.15143603	0.01
1.558984375	41.61608075	2.186734378	0.01
1.560449219	41.61716544	2.222032726	0.01
1.561914063	41.61825012	2.257331074	0.01
1.563378906	41.61933481	2.292629423	0.01
1.56484375	40.69616246	2.296033712	0.01
1.566308594	40.00134472	2.281464208	0.01
1.567773438	38.92917386	2.266528888	0.01
1.569238281	39.10092959	2.236953218	0.01
1.570703125	38.44817369	2.281566682	0.01
1.572167969	39.71036311	2.298665798	0.01
1.573632813	39.8270093	2.320853712	0.01
1.575097656	39.94365549	2.343041627	0.01
1.5765625	40.06030168	2.365229541	0.01
1.578027344	40.17694787	2.387417455	0.01
